ID,Query,Object Type,View Type,Length
1236,show quarterly performance of leads by branch,lead,summary,45
1237,show month wise min of lead,lead,table,27
1238,daily breakup of lead for this quarter,lead,table,38
1239,show quarterly performance of leads by branch,lead,summary,45
1240,show branch wise lead,lead,summary,21
1241,show my branch lead with status closed,lead,table,38
1242,list accounts in branch with balance equal to 200000,account,chart,52
1243,"show branch performance summary: lead count, loan total, deposits total",lead,chart,71
1244,show branch wise lead,lead,summary,21
1245,show my branch lead with status in-progress,lead,table,43
1246,list accounts in branch with balance not equal to 500000,account,chart,56
1247,"show branch performance summary: lead count, loan total, deposits total",lead,chart,71
1248,show branch wise lead,lead,summary,21
1249,show my branch lead with status pending,lead,table,39
1250,list accounts in branch with balance greater than 1000000,account,chart,57
1251,"show branch performance summary: lead count, loan total, deposits total",lead,chart,71
1252,show branch wise lead,lead,summary,21
1253,show my branch lead with status approved,lead,table,40
1254,list accounts in branch with balance less than 50000,account,chart,52
1255,"show branch performance summary: lead count, loan total, deposits total",lead,chart,71
1256,show branch wise lead,lead,summary,21
1257,show my branch lead with status rejected,lead,table,40
1258,list accounts in branch with balance equal to 100000,account,chart,52
1259,"show branch performance summary: lead count, loan total, deposits total",lead,chart,71
1260,show branch wise lead,lead,summary,21
1261,show my branch lead with status open,lead,table,36
1262,list accounts in branch with balance not equal to 200000,account,chart,56
1263,"show branch performance summary: lead count, loan total, deposits total",lead,chart,71
1264,show branch wise lead,lead,summary,21
1265,show my branch lead with status closed,lead,table,38
1266,list accounts in branch with balance greater than 500000,account,chart,56
1267,"show branch performance summary: lead count, loan total, deposits total",lead,chart,71
1268,show branch wise lead,lead,summary,21
1269,show my branch lead with status in-progress,lead,table,43
1270,list accounts in branch with balance less than 1000000,account,chart,54
1271,"show branch performance summary: lead count, loan total, deposits total",lead,chart,71
1272,show branch wise lead,lead,summary,21
1273,show my branch lead with status pending,lead,table,39
1274,list accounts in branch with balance equal to 50000,account,chart,51
1275,"show branch performance summary: lead count, loan total, deposits total",lead,chart,71
1276,show branch wise lead,lead,summary,21
1277,show my branch lead with status approved,lead,table,40
1278,list accounts in branch with balance not equal to 100000,account,chart,56
1279,"show branch performance summary: lead count, loan total, deposits total",lead,chart,71
1280,show branch wise lead,lead,summary,21
1281,show my branch lead with status rejected,lead,table,40
1282,list accounts in branch with balance greater than 200000,account,chart,56
1283,"show branch performance summary: lead count, loan total, deposits total",lead,chart,71
1284,show branch wise lead,lead,summary,21
1285,show my branch lead with status open,lead,table,36
1286,list accounts in branch with balance less than 500000,account,chart,53
1287,"show branch performance summary: lead count, loan total, deposits total",lead,chart,71
1288,show branch wise lead,lead,summary,21
1289,show my branch lead with status closed,lead,table,38
1290,list accounts in branch with balance equal to 1000000,account,chart,53
1291,"show branch performance summary: lead count, loan total, deposits total",lead,chart,71
1292,show branch wise lead,lead,summary,21
1293,show my branch lead with status in-progress,lead,table,43
1294,list accounts in branch with balance not equal to 50000,account,chart,55
1295,"show branch performance summary: lead count, loan total, deposits total",lead,chart,71
1296,show branch wise lead,lead,summary,21
1297,show all account,account,chart,16
1298,show all account yesterday,account,chart,26
1299,show my account with status in-progress,account,chart,39
1300,list account where priority is high,account,chart,35
1301,show all account,account,chart,16
1302,show all account last week,account,chart,26
1303,show my account with status pending,account,chart,35
1304,list account where priority is medium,account,chart,37
1305,show all account,account,chart,16
1306,show all account last month,account,chart,27
1307,show my account with status approved,account,chart,36
1308,list account where priority is low,account,chart,34
1309,show all account,account,chart,16
1310,show all account last 3 months,account,chart,30
1311,show my account with status rejected,account,chart,36
1312,list account where priority is high,account,chart,35
1313,show all account,account,chart,16
1314,show all account this quarter,account,chart,29
1315,show my account with status open,account,chart,32
1316,list account where priority is medium,account,chart,37
1317,show all account,account,chart,16
1318,show all account this year,account,chart,26
1319,show my account with status closed,account,chart,34
1320,list account where priority is low,account,chart,34
1321,show all account,account,chart,16
1322,show all account today,account,chart,22
1323,show my account with status in-progress,account,chart,39
1324,list account where priority is high,account,chart,35
1325,show all account,account,chart,16
1326,show all account yesterday,account,chart,26
1327,show my account with status pending,account,chart,35
1328,list account where priority is medium,account,chart,37
1329,show all account,account,chart,16
1330,show all account last week,account,chart,26
1331,show my account with status approved,account,chart,36
1332,list account where priority is low,account,chart,34
1333,show all account,account,chart,16
1334,show all account last month,account,chart,27
1335,show my account with status rejected,account,chart,36
1336,list account where priority is high,account,chart,35
1337,show all account,account,chart,16
1338,show all account last 3 months,account,chart,30
1339,show my account with status open,account,chart,32
1340,list account where priority is medium,account,chart,37
1341,show all account,account,chart,16
1342,show all account this quarter,account,chart,29
1343,show my account with status closed,account,chart,34
1344,list account where priority is low,account,chart,34
1345,show all account,account,chart,16
1346,show all account this year,account,chart,26
1347,show top 10 account where status is open,account,chart,40
1348,show account sorted by balance desc,account,chart,35
1349,filter account where type is equal to 200000,account,chart,44
1350,show account created last month,account,chart,31
1351,show top 10 account where status is closed,account,chart,42
1352,show account sorted by type asc,account,chart,31
1353,filter account where branch is not equal to 500000,account,chart,50
1354,show account created last 3 months,account,chart,34
1355,show top 10 account where status is in-progress,account,chart,47
1356,show account sorted by branch desc,account,chart,34
1357,filter account where customer_id is greater than 1000000,account,chart,56
1358,show account created this quarter,account,chart,33
1359,show top 10 account where status is pending,account,chart,43
1360,show account sorted by customer_id asc,account,chart,38
1361,filter account where account_no is less than 50000,account,chart,50
1362,show account created this year,account,chart,30
1363,show top 10 account where status is approved,account,chart,44
1364,show account sorted by account_no desc,account,chart,38
1365,filter account where balance is equal to 100000,account,chart,47
1366,show account created today,account,chart,26
1367,show top 10 account where status is rejected,account,chart,44
1368,show account sorted by balance asc,account,chart,34
1369,filter account where type is not equal to 200000,account,chart,48
1370,show account created yesterday,account,chart,30
1371,show top 10 account where status is open,account,chart,40
1372,show account sorted by type desc,account,chart,32
1373,filter account where branch is greater than 500000,account,chart,50
1374,show account created last week,account,chart,30
1375,show top 10 account where status is closed,account,chart,42
1376,show account sorted by branch asc,account,chart,33
1377,filter account where customer_id is less than 1000000,account,chart,53
1378,show account created last month,account,chart,31
1379,show top 10 account where status is in-progress,account,chart,47
1380,show account sorted by customer_id desc,account,chart,39
1381,filter account where account_no is equal to 50000,account,chart,49
1382,show account created last 3 months,account,chart,34
1383,show top 10 account where status is pending,account,chart,43
1384,show account sorted by account_no asc,account,chart,37
1385,filter account where balance is not equal to 100000,account,chart,51
1386,show account created this quarter,account,chart,33
1387,show top 10 account where status is approved,account,chart,44
1388,show account sorted by balance desc,account,chart,35
1389,filter account where type is greater than 200000,account,chart,48
1390,show account created this year,account,chart,30
1391,show top 10 account where status is rejected,account,chart,44
1392,show account sorted by type asc,account,chart,31
1393,filter account where branch is less than 500000,account,chart,47
1394,show account created today,account,chart,26
1395,show top 10 account where status is open,account,chart,40
1396,show account sorted by branch desc,account,chart,34
1397,show account with related account,account,chart,33
1398,show account where customer balance is 100000,account,chart,45
1399,list account and related loan filtered by in-progress,account,chart,53
1400,show account with related customer,account,chart,34
1401,show account where loan type is 200000,account,chart,38
1402,list account and related task filtered by pending,account,chart,49
1403,show account with related loan,account,chart,30
1404,show account where task branch is 500000,account,chart,40
1405,list account and related branch filtered by approved,account,chart,52
1406,show account with related task,account,chart,30
1407,show account where branch customer_id is 1000000,account,chart,48
1408,list account and related lead filtered by rejected,lead,chart,50
1409,show account with related branch,account,chart,32
1410,show account where lead account_no is 50000,lead,chart,43
1411,list account and related account filtered by open,account,chart,49
1412,show account with related lead,lead,chart,30
1413,show account where account balance is 100000,account,chart,44
1414,list account and related customer filtered by closed,account,chart,52
1415,show account with related account,account,chart,33
1416,show account where customer type is 200000,account,chart,42
1417,list account and related loan filtered by in-progress,account,chart,53
1418,show account with related customer,account,chart,34
1419,show account where loan branch is 500000,account,chart,40
1420,list account and related task filtered by pending,account,chart,49
1421,show account with related loan,account,chart,30
1422,show account where task customer_id is 1000000,account,chart,46
1423,list account and related branch filtered by approved,account,chart,52
1424,show account with related task,account,chart,30
1425,show account where branch account_no is 50000,account,chart,45
1426,list account and related lead filtered by rejected,lead,chart,50
1427,show account with related branch,account,chart,32
1428,show account where lead balance is 100000,lead,chart,41
1429,list account and related account filtered by open,account,chart,49
1430,show account with related lead,lead,chart,30
1431,show account where account type is 200000,account,chart,41
1432,list account and related customer filtered by closed,account,chart,52
1433,show account with related account,account,chart,33
1434,show account where customer branch is 500000,account,chart,44
1435,list account and related loan filtered by in-progress,account,chart,53
1436,show account with related customer,account,chart,34
1437,show account where loan customer_id is 1000000,account,chart,46
1438,list account and related task filtered by pending,account,chart,49
1439,show account with related loan,account,chart,30
1440,show account where task account_no is 50000,account,chart,43
1441,list account and related branch filtered by approved,account,chart,52
1442,show account with related task,account,chart,30
1443,show account where branch balance is 100000,account,chart,43
1444,list account and related lead filtered by rejected,lead,chart,50
1445,show account with related branch,account,chart,32
1446,show account where lead type is 200000,lead,chart,38
1447,show sum of amount in account,account,chart,29
1448,show count of balance for account yesterday,account,chart,43
1449,calculate total loan_amount across all account,account,chart,46
1450,show account grouped by customer_type with min of emi_amount,account,chart,60
1451,show count of balance in account,account,chart,32
1452,show average of loan_amount for account last week,account,chart,49
1453,calculate total emi_amount across all account,account,chart,45
1454,show account grouped by status with max of premium_amount,account,chart,57
1455,show average of loan_amount in account,account,chart,38
1456,show min of emi_amount for account last month,account,chart,45
1457,calculate total premium_amount across all account,account,chart,49
1458,show account grouped by branch with sum of amount,account,chart,49
1459,show min of emi_amount in account,account,chart,33
1460,show max of premium_amount for account last 3 months,account,chart,52
1461,calculate total amount across all account,account,chart,41
1462,show account grouped by manager with count of balance,account,chart,53
1463,show max of premium_amount in account,account,chart,37
1464,show sum of amount for account this quarter,account,chart,43
1465,calculate total balance across all account,account,chart,42
1466,show account grouped by product with average of loan_amount,account,chart,59
1467,show sum of amount in account,account,chart,29
1468,show count of balance for account this year,account,chart,43
1469,calculate total loan_amount across all account,account,chart,46
1470,show account grouped by customer_type with min of emi_amount,account,chart,60
1471,show count of balance in account,account,chart,32
1472,show average of loan_amount for account today,account,chart,45
1473,calculate total emi_amount across all account,account,chart,45
1474,show account grouped by status with max of premium_amount,account,chart,57
1475,show average of loan_amount in account,account,chart,38
1476,show min of emi_amount for account yesterday,account,chart,44
1477,calculate total premium_amount across all account,account,chart,49
1478,show account grouped by branch with sum of amount,account,chart,49
1479,show min of emi_amount in account,account,chart,33
1480,show max of premium_amount for account last week,account,chart,48
1481,calculate total amount across all account,account,chart,41
1482,show account grouped by manager with count of balance,account,chart,53
1483,show max of premium_amount in account,account,chart,37
1484,show sum of amount for account last month,account,chart,41
1485,calculate total balance across all account,account,chart,42
1486,show account grouped by product with average of loan_amount,account,chart,59
1487,show sum of amount in account,account,chart,29
1488,show count of balance for account last 3 months,account,chart,47
1489,calculate total loan_amount across all account,account,chart,46
1490,show account grouped by customer_type with min of emi_amount,account,chart,60
1491,show count of balance in account,account,chart,32
1492,show average of loan_amount for account this quarter,account,chart,52
1493,calculate total emi_amount across all account,account,chart,45
1494,show account grouped by status with max of premium_amount,account,chart,57
1495,show average of loan_amount in account,account,chart,38
1496,show min of emi_amount for account this year,account,chart,44
1497,show sum of loan amount for customers grouped by branch,customer,chart,55
1498,total loan amount for customers who have accounts greater than 100000,account,chart,69
1499,sum of account balance for customers having loans,account,chart,49
1500,show branch wise min of emi amount,branch,summary,34
1501,show count of loan amount for customers grouped by branch,customer,chart,57
1502,total loan amount for customers who have accounts greater than 200000,account,chart,69
1503,sum of account balance for customers having loans,account,chart,49
1504,show branch wise max of emi amount,branch,summary,34
1505,show average of loan amount for customers grouped by branch,customer,chart,59
1506,total loan amount for customers who have accounts greater than 500000,account,chart,69
1507,sum of account balance for customers having loans,account,chart,49
1508,show branch wise sum of emi amount,branch,chart,34
1509,show min of loan amount for customers grouped by branch,customer,chart,55
1510,total loan amount for customers who have accounts greater than 1000000,account,chart,70
1511,sum of account balance for customers having loans,account,chart,49
1512,show branch wise count of emi amount,branch,chart,36
1513,show max of loan amount for customers grouped by branch,customer,chart,55
1514,total loan amount for customers who have accounts greater than 50000,account,chart,68
1515,sum of account balance for customers having loans,account,chart,49
1516,show branch wise average of emi amount,branch,chart,38
1517,show sum of loan amount for customers grouped by branch,customer,chart,55
1518,total loan amount for customers who have accounts greater than 100000,account,chart,69
1519,sum of account balance for customers having loans,account,chart,49
1520,show branch wise min of emi amount,branch,summary,34
1521,show count of loan amount for customers grouped by branch,customer,chart,57
1522,total loan amount for customers who have accounts greater than 200000,account,chart,69
1523,sum of account balance for customers having loans,account,chart,49
1524,show branch wise max of emi amount,branch,summary,34
1525,show average of loan amount for customers grouped by branch,customer,chart,59
1526,total loan amount for customers who have accounts greater than 500000,account,chart,69
1527,sum of account balance for customers having loans,account,chart,49
1528,show branch wise sum of emi amount,branch,chart,34
1529,show min of loan amount for customers grouped by branch,customer,chart,55
1530,total loan amount for customers who have accounts greater than 1000000,account,chart,70
1531,sum of account balance for customers having loans,account,chart,49
1532,show branch wise count of emi amount,branch,chart,36
1533,show max of loan amount for customers grouped by branch,customer,chart,55
1534,total loan amount for customers who have accounts greater than 50000,account,chart,68
1535,sum of account balance for customers having loans,account,chart,49
1536,show branch wise average of emi amount,branch,chart,38
1537,show sum of loan amount for customers grouped by branch,customer,chart,55
1538,total loan amount for customers who have accounts greater than 100000,account,chart,69
1539,sum of account balance for customers having loans,account,chart,49
1540,show branch wise min of emi amount,branch,summary,34
1541,show count of loan amount for customers grouped by branch,customer,chart,57
1542,total loan amount for customers who have accounts greater than 200000,account,chart,69
1543,sum of account balance for customers having loans,account,chart,49
1544,show branch wise max of emi amount,branch,summary,34
1545,show average of loan amount for customers grouped by branch,customer,chart,59
1546,total loan amount for customers who have accounts greater than 500000,account,chart,69
1547,show branch wise account,account,chart,24
1548,show my branch account with status closed,account,chart,41
1549,list accounts in branch with balance equal to 200000,account,chart,52
1550,"show branch performance summary: account count, loan total, deposits total",account,chart,74
1551,show branch wise account,account,chart,24
1552,show my branch account with status in-progress,account,chart,46
1553,list accounts in branch with balance not equal to 500000,account,chart,56
1554,"show branch performance summary: account count, loan total, deposits total",account,chart,74
1555,show branch wise account,account,chart,24
1556,show my branch account with status pending,account,chart,42
1557,list accounts in branch with balance greater than 1000000,account,chart,57
1558,"show branch performance summary: account count, loan total, deposits total",account,chart,74
1559,show branch wise account,account,chart,24
1560,show my branch account with status approved,account,chart,43
1561,list accounts in branch with balance less than 50000,account,chart,52
1562,"show branch performance summary: account count, loan total, deposits total",account,chart,74
1563,show branch wise account,account,chart,24
1564,show my branch account with status rejected,account,chart,43
1565,list accounts in branch with balance equal to 100000,account,chart,52
1566,"show branch performance summary: account count, loan total, deposits total",account,chart,74
1567,show branch wise account,account,chart,24
1568,show my branch account with status open,account,chart,39
1569,list accounts in branch with balance not equal to 200000,account,chart,56
1570,"show branch performance summary: account count, loan total, deposits total",account,chart,74
1571,show branch wise account,account,chart,24
1572,show my branch account with status closed,account,chart,41
1573,list accounts in branch with balance greater than 500000,account,chart,56
1574,"show branch performance summary: account count, loan total, deposits total",account,chart,74
1575,show branch wise account,account,chart,24
1576,show my branch account with status in-progress,account,chart,46
1577,list accounts in branch with balance less than 1000000,account,chart,54
1578,"show branch performance summary: account count, loan total, deposits total",account,chart,74
1579,show branch wise account,account,chart,24
1580,show my branch account with status pending,account,chart,42
1581,list accounts in branch with balance equal to 50000,account,chart,51
1582,"show branch performance summary: account count, loan total, deposits total",account,chart,74
1583,show branch wise account,account,chart,24
1584,show my branch account with status approved,account,chart,43
1585,list accounts in branch with balance not equal to 100000,account,chart,56
1586,"show branch performance summary: account count, loan total, deposits total",account,chart,74
1587,show branch wise account,account,chart,24
1588,show my branch account with status rejected,account,chart,43
1589,list accounts in branch with balance greater than 200000,account,chart,56
1590,"show branch performance summary: account count, loan total, deposits total",account,chart,74
1591,show branch wise account,account,chart,24
1592,show my branch account with status open,account,chart,39
1593,list accounts in branch with balance less than 500000,account,chart,53
1594,"show branch performance summary: account count, loan total, deposits total",account,chart,74
1595,show branch wise account,account,chart,24
1596,show my branch account with status closed,account,chart,41
1597,show all task,task,table,13
1598,show all task yesterday,task,table,23
1599,show my task with status in-progress,task,table,36
1600,list task where priority is high,task,table,32
1601,show all task,task,table,13
1602,show all task last week,task,table,23
1603,show my task with status pending,task,table,32
1604,list task where priority is medium,task,table,34
1605,show all task,task,table,13
1606,show all task last month,task,table,24
1607,show my task with status approved,task,table,33
1608,list task where priority is low,task,table,31
1609,show all task,task,table,13
1610,show all task last 3 months,task,table,27
1611,show my task with status rejected,task,table,33
1612,list task where priority is high,task,table,32
1613,show all task,task,table,13
1614,show all task this quarter,task,table,26
1615,show my task with status open,task,table,29
1616,list task where priority is medium,task,table,34
1617,show all task,task,table,13
1618,show all task this year,task,table,23
1619,show my task with status closed,task,table,31
1620,list task where priority is low,task,table,31
1621,show all task,task,table,13
1622,show all task today,task,table,19
1623,show my task with status in-progress,task,table,36
1624,list task where priority is high,task,table,32
1625,show all task,task,table,13
1626,show all task yesterday,task,table,23
1627,show my task with status pending,task,table,32
1628,list task where priority is medium,task,table,34
1629,show all task,task,table,13
1630,show all task last week,task,table,23
1631,show my task with status approved,task,table,33
1632,list task where priority is low,task,table,31
1633,show all task,task,table,13
1634,show all task last month,task,table,24
1635,show my task with status rejected,task,table,33
1636,list task where priority is high,task,table,32
1637,show all task,task,table,13
1638,show all task last 3 months,task,table,27
1639,show my task with status open,task,table,29
1640,list task where priority is medium,task,table,34
1641,show all task,task,table,13
1642,show all task this quarter,task,table,26
1643,show my task with status closed,task,table,31
1644,list task where priority is low,task,table,31
1645,show all task,task,table,13
1646,show all task this year,task,table,23
1647,show top 10 task where status is open,task,table,37
1648,show task sorted by due_date desc,task,table,33
1649,filter task where status is equal to 200000,task,table,43
1650,show task created last month,task,table,28
1651,show top 10 task where status is closed,task,table,39
1652,show task sorted by status asc,task,table,30
1653,filter task where assigned_to is not equal to 500000,task,table,52
1654,show task created last 3 months,task,table,31
1655,show top 10 task where status is in-progress,task,table,44
1656,show task sorted by assigned_to desc,task,table,36
1657,filter task where related_to is greater than 1000000,task,table,52
1658,show task created this quarter,task,table,30
1659,show top 10 task where status is pending,task,table,40
1660,show task sorted by related_to asc,task,table,34
1661,filter task where task_name is less than 50000,task,table,46
1662,show task created this year,task,table,27
1663,show top 10 task where status is approved,task,table,41
1664,show task sorted by task_name desc,task,table,34
1665,filter task where due_date is equal to 100000,task,table,45
1666,show task created today,task,table,23
1667,show top 10 task where status is rejected,task,table,41
1668,show task sorted by due_date asc,task,table,32
1669,filter task where status is not equal to 200000,task,table,47
1670,show task created yesterday,task,table,27
1671,show top 10 task where status is open,task,table,37
1672,show task sorted by status desc,task,table,31
1673,filter task where assigned_to is greater than 500000,task,table,52
1674,show task created last week,task,table,27
1675,show top 10 task where status is closed,task,table,39
1676,show task sorted by assigned_to asc,task,table,35
1677,filter task where related_to is less than 1000000,task,table,49
1678,show task created last month,task,table,28
1679,show top 10 task where status is in-progress,task,table,44
1680,show task sorted by related_to desc,task,table,35
1681,filter task where task_name is equal to 50000,task,table,45
1682,show task created last 3 months,task,table,31
1683,show top 10 task where status is pending,task,table,40
1684,show task sorted by task_name asc,task,table,33
1685,filter task where due_date is not equal to 100000,task,table,49
1686,show task created this quarter,task,table,30
1687,show top 10 task where status is approved,task,table,41
1688,show task sorted by due_date desc,task,table,33
1689,filter task where status is greater than 200000,task,table,47
1690,show task created this year,task,table,27
1691,show top 10 task where status is rejected,task,table,41
1692,show task sorted by status asc,task,table,30
1693,filter task where assigned_to is less than 500000,task,table,49
1694,show task created today,task,table,23
1695,show top 10 task where status is open,task,table,37
1696,show task sorted by assigned_to desc,task,table,36
1697,show overdue tasks related to task,task,table,34
1698,list tasks for task assigned to me,task,table,34
1699,tasks last week for task with status in-progress,task,table,48
1700,show overdue tasks related to task,task,table,34
1701,list tasks for task assigned to me,task,table,34
1702,tasks last month for task with status pending,task,table,45
1703,show overdue tasks related to task,task,table,34
1704,list tasks for task assigned to me,task,table,34
1705,tasks last 3 months for task with status approved,task,table,49
1706,show overdue tasks related to task,task,table,34
1707,list tasks for task assigned to me,task,table,34
1708,tasks this quarter for task with status rejected,task,table,48
1709,show overdue tasks related to task,task,table,34
1710,list tasks for task assigned to me,task,table,34
1711,tasks this year for task with status open,task,table,41
1712,show overdue tasks related to task,task,table,34
1713,list tasks for task assigned to me,task,table,34
1714,tasks today for task with status closed,task,table,39
1715,show overdue tasks related to task,task,table,34
1716,list tasks for task assigned to me,task,table,34
1717,tasks yesterday for task with status in-progress,task,table,48
1718,show overdue tasks related to task,task,table,34
1719,list tasks for task assigned to me,task,table,34
1720,tasks last week for task with status pending,task,table,44
1721,show overdue tasks related to task,task,table,34
1722,list tasks for task assigned to me,task,table,34
1723,tasks last month for task with status approved,task,table,46
1724,show overdue tasks related to task,task,table,34
1725,list tasks for task assigned to me,task,table,34
1726,tasks last 3 months for task with status rejected,task,table,49
1727,show overdue tasks related to task,task,table,34
1728,list tasks for task assigned to me,task,table,34
1729,tasks this quarter for task with status open,task,table,44
1730,show overdue tasks related to task,task,table,34
1731,list tasks for task assigned to me,task,table,34
1732,tasks this year for task with status closed,task,table,43
1733,show overdue tasks related to task,task,table,34
1734,list tasks for task assigned to me,task,table,34
1735,tasks today for task with status in-progress,task,table,44
1736,show overdue tasks related to task,task,table,34
1737,list tasks for task assigned to me,task,table,34
1738,tasks yesterday for task with status pending,task,table,44
1739,show overdue tasks related to task,task,table,34
1740,list tasks for task assigned to me,task,table,34
1741,tasks last week for task with status approved,task,table,45
1742,show overdue tasks related to task,task,table,34
1743,list tasks for task assigned to me,task,table,34
1744,tasks last month for task with status rejected,task,table,46
1745,show overdue tasks related to task,task,table,34
1746,list tasks for task assigned to me,task,table,34
1747,show month wise sum of task,task,chart,27
1748,daily breakup of task for yesterday,task,table,35
1749,show quarterly performance of leads by branch,lead,summary,45
1750,show month wise count of task,task,chart,29
1751,daily breakup of task for last week,task,table,35
1752,show quarterly performance of leads by branch,lead,summary,45
1753,show month wise average of task,task,chart,31
1754,daily breakup of task for last month,task,table,36
1755,show quarterly performance of leads by branch,lead,summary,45
1756,show month wise min of task,task,table,27
1757,daily breakup of task for last 3 months,task,table,39
1758,show quarterly performance of leads by branch,lead,summary,45
1759,show month wise max of task,task,table,27
1760,daily breakup of task for this quarter,task,table,38
1761,show quarterly performance of leads by branch,lead,summary,45
1762,show month wise sum of task,task,chart,27
1763,daily breakup of task for this year,task,table,35
1764,show quarterly performance of leads by branch,lead,summary,45
1765,show month wise count of task,task,chart,29
1766,daily breakup of task for today,task,table,31
1767,show quarterly performance of leads by branch,lead,summary,45
1768,show month wise average of task,task,chart,31
1769,daily breakup of task for yesterday,task,table,35
1770,show quarterly performance of leads by branch,lead,summary,45
1771,show month wise min of task,task,table,27
1772,daily breakup of task for last week,task,table,35
1773,show quarterly performance of leads by branch,lead,summary,45
1774,show month wise max of task,task,table,27
1775,daily breakup of task for last month,task,table,36
1776,show quarterly performance of leads by branch,lead,summary,45
1777,show month wise sum of task,task,chart,27
1778,daily breakup of task for last 3 months,task,table,39
1779,show quarterly performance of leads by branch,lead,summary,45
1780,show month wise count of task,task,chart,29
1781,daily breakup of task for this quarter,task,table,38
1782,show quarterly performance of leads by branch,lead,summary,45
1783,show month wise average of task,task,chart,31
1784,daily breakup of task for this year,task,table,35
1785,show quarterly performance of leads by branch,lead,summary,45
1786,show month wise min of task,task,table,27
1787,daily breakup of task for today,task,table,31
1788,show quarterly performance of leads by branch,lead,summary,45
1789,show month wise max of task,task,table,27
1790,daily breakup of task for yesterday,task,table,35
1791,show quarterly performance of leads by branch,lead,summary,45
1792,show month wise sum of task,task,chart,27
1793,daily breakup of task for last week,task,table,35
1794,show quarterly performance of leads by branch,lead,summary,45
1795,show month wise count of task,task,chart,29
1796,daily breakup of task for last month,task,table,36
1797,show all branch,branch,table,15
1798,show all branch yesterday,branch,table,25
1799,show my branch with status in-progress,branch,table,38
1800,list branch where priority is high,branch,table,34
1801,show all branch,branch,table,15
1802,show all branch last week,branch,table,25
1803,show my branch with status pending,branch,table,34
1804,list branch where priority is medium,branch,table,36
1805,show all branch,branch,table,15
1806,show all branch last month,branch,table,26
1807,show my branch with status approved,branch,table,35
1808,list branch where priority is low,branch,table,33
1809,show all branch,branch,table,15
1810,show all branch last 3 months,branch,table,29
1811,show my branch with status rejected,branch,table,35
1812,list branch where priority is high,branch,table,34
1813,show all branch,branch,table,15
1814,show all branch this quarter,branch,table,28
1815,show my branch with status open,branch,table,31
1816,list branch where priority is medium,branch,table,36
1817,show all branch,branch,table,15
1818,show all branch this year,branch,table,25
1819,show my branch with status closed,branch,table,33
1820,list branch where priority is low,branch,table,33
1821,show all branch,branch,table,15
1822,show all branch today,branch,table,21
1823,show my branch with status in-progress,branch,table,38
1824,list branch where priority is high,branch,table,34
1825,show all branch,branch,table,15
1826,show all branch yesterday,branch,table,25
1827,show my branch with status pending,branch,table,34
1828,list branch where priority is medium,branch,table,36
1829,show all branch,branch,table,15
1830,show all branch last week,branch,table,25
1831,show my branch with status approved,branch,table,35
1832,list branch where priority is low,branch,table,33
1833,show all branch,branch,table,15
1834,show all branch last month,branch,table,26
1835,show my branch with status rejected,branch,table,35
1836,list branch where priority is high,branch,table,34
1837,show all branch,branch,table,15
1838,show all branch last 3 months,branch,table,29
1839,show my branch with status open,branch,table,31
1840,list branch where priority is medium,branch,table,36
1841,show all branch,branch,table,15
1842,show all branch this quarter,branch,table,28
1843,show my branch with status closed,branch,table,33
1844,list branch where priority is low,branch,table,33
1845,show all branch,branch,table,15
1846,show all branch this year,branch,table,25
1847,show sum of amount in branch,branch,chart,28
1848,show count of balance for branch yesterday,branch,chart,42
1849,calculate total loan_amount across all branch,loan,chart,45
1850,show branch grouped by customer_type with min of emi_amount,customer,chart,59
1851,show count of balance in branch,branch,chart,31
1852,show average of loan_amount for branch last week,loan,chart,48
1853,calculate total emi_amount across all branch,branch,chart,44
1854,show branch grouped by status with max of premium_amount,branch,chart,56
1855,show average of loan_amount in branch,loan,chart,37
1856,show min of emi_amount for branch last month,branch,table,44
1857,calculate total premium_amount across all branch,branch,chart,48
1858,show branch grouped by branch with sum of amount,branch,chart,48
1859,show min of emi_amount in branch,branch,table,32
1860,show max of premium_amount for branch last 3 months,branch,table,51
1861,calculate total amount across all branch,branch,chart,40
1862,show branch grouped by manager with count of balance,branch,chart,52
1863,show max of premium_amount in branch,branch,table,36
1864,show sum of amount for branch this quarter,branch,chart,42
1865,calculate total balance across all branch,branch,chart,41
1866,show branch grouped by product with average of loan_amount,loan,chart,58
1867,show sum of amount in branch,branch,chart,28
1868,show count of balance for branch this year,branch,chart,42
1869,calculate total loan_amount across all branch,loan,chart,45
1870,show branch grouped by customer_type with min of emi_amount,customer,chart,59
1871,show count of balance in branch,branch,chart,31
1872,show average of loan_amount for branch today,loan,chart,44
1873,calculate total emi_amount across all branch,branch,chart,44
1874,show branch grouped by status with max of premium_amount,branch,chart,56
1875,show average of loan_amount in branch,loan,chart,37
1876,show min of emi_amount for branch yesterday,branch,table,43
1877,calculate total premium_amount across all branch,branch,chart,48
1878,show branch grouped by branch with sum of amount,branch,chart,48
1879,show min of emi_amount in branch,branch,table,32
1880,show max of premium_amount for branch last week,branch,table,47
1881,calculate total amount across all branch,branch,chart,40
1882,show branch grouped by manager with count of balance,branch,chart,52
1883,show max of premium_amount in branch,branch,table,36
1884,show sum of amount for branch last month,branch,chart,40
1885,calculate total balance across all branch,branch,chart,41
1886,show branch grouped by product with average of loan_amount,loan,chart,58
1887,show sum of amount in branch,branch,chart,28
1888,show count of balance for branch last 3 months,branch,chart,46
1889,calculate total loan_amount across all branch,loan,chart,45
